genome,score
GCF_022690085.1.fna,95.38447109730079
GCF_031727455.1.fna,95.45271381043938
GCF_022689925.1.fna,94.94483209730079
GCF_031631055.1.fna,95.95599642846008
GCF_052950835.1.fna,93.1765762612237
GCF_040947065.1.fna,95.17541504326418
GCF_022690325.1.fna,93.97599642846008
GCF_031728895.1.fna,94.6765762612237
GCF_025143445.1.fna,94.06657626122369
GCF_022690005.1.fna,99.64307381043938
GCF_022690045.1.fna,99.6424845366966
GCF_031728415.1.fna,99.57440659730078
GCF_031728455.1.fna,99.37394158216735
GCF_031728495.1.fna,98.87490954326417
GCF_031727275.1.fna,98.97424758216737
GCF_040947225.1.fna,98.9265762612237
GCF_022690225.1.fna,99.27945242566824
GCF_022689775.1.fna,99.72474884730079
GCF_022690205.1.fna,100.17589667846008
GCF_025143615.1.fna,99.9264245112237
GCF_031728715.1.fna,100.27580292846007
GCF_036419895.1.fna,100.27578492846007
GCF_022689785.1.fna,98.87378358216735
GCF_022690185.1.fna,100.27391608216736
GCF_031729015.1.fna,100.27164281043936
GCF_037700315.1.fna,84.46511131918436
GCF_031728795.1.fna,94.39715454982367
GCF_013267575.1.fna,100.27530042846007
GCF_031728675.1.fna,100.27295381043936
GCF_031728695.1.fna,99.27424758216736
GCF_031728095.1.fna,98.84541504326418
GCF_022690375.1.fna,98.99541504326417
GCF_022689855.1.fna,99.8965762612237
GCF_031727235.1.fna,99.8959812612237
GCF_022689575.1.fna,94.57413858216735
GCF_022689665.1.fna,94.57424758216736
GCF_022689725.1.fna,94.57325148939333
GCF_037700375.1.fna,92.77538705958807
GCF_037700455.1.fna,93.63002505958808
GCF_002901845.1.fna,99.2848320973008
GCF_900458635.1.fna,97.4815762612237
GCF_022689645.1.fna,98.72424758216737
GCF_022689705.1.fna,96.82424758216736
GCF_031727535.1.fna,100.27230253669659
GCF_037695175.1.fna,95.70992585164899
GCF_040947125.1.fna,99.02424758216736
GCF_022690025.1.fna,99.27483209730079
GCF_964211265.1.fna,99.2765762612237
GCF_031728275.1.fna,99.27541504326418
GCF_031727055.1.fna,99.27715454982366
GCF_022690295.1.fna,95.3965762612237
GCF_031727255.1.fna,95.3965762612237
GCF_022689945.1.fna,97.42742530246272
GCF_036420075.1.fna,97.42940542566824
GCF_031728515.1.fna,99.27830652727845
GCF_000269685.1.fna,96.4265762612237
GCF_031728475.1.fna,96.42773130246273
GCF_015274675.1.fna,96.42945242566825
GCF_022689565.1.fna,93.95595842846008
GCF_031727355.1.fna,93.95595842846008
GCF_022689965.1.fna,93.8165382612237
GCF_022690345.1.fna,95.72599642846008
GCF_031728155.1.fna,95.7265762612237
GCF_040947025.1.fna,95.72773130246273
GCF_022689905.1.fna,97.42541504326418
GCF_031728315.1.fna,97.4260322612237
GCF_037694985.1.fna,83.77490214068177
GCF_029926865.1.fna,94.2265432612237
GCF_029926905.1.fna,94.22653976122369
GCF_029926915.1.fna,94.32579492846007
GCF_022690425.1.fna,97.42458904326418
GCF_031728075.1.fna,97.4248320973008
GCF_037700155.1.fna,90.04776081043937
GCF_037700295.1.fna,83.22310505958806
GCF_017315645.1.fna,96.42773130246273
GCF_031728295.1.fna,96.42599642846008
GCF_047653515.1.fna,94.87945242566823
GCF_022689765.1.fna,97.12434309730078
GCF_022689825.1.fna,97.12522954326417
GCF_022689975.1.fna,97.12541504326417
GCF_022690385.1.fna,96.28872704326417
GCF_022689845.1.fna,94.57587042846006
GCF_037700135.1.fna,82.1303069126264
GCF_022690245.1.fna,96.42945242566825
GCF_022689615.1.fna,93.17513576179341
GCF_022689675.1.fna,93.17566976179342
GCF_022689745.1.fna,93.17577359455703
GCF_031727075.1.fna,93.1762682612237
GCF_031728235.1.fna,90.52424758216736
GCF_015274535.1.fna,97.04690254982367
GCF_015274585.1.fna,97.0465762612237
GCF_015274655.1.fna,97.0463587612237
GCF_022690065.1.fna,96.02874403234387
GCF_022690145.1.fna,96.02859003234386
GCF_022690165.1.fna,96.02853623234387
GCF_022690265.1.fna,96.02874383234386
GCF_025143205.1.fna,97.42673450246272
GCF_031728555.1.fna,96.02895442566823
GCF_031728835.1.fna,94.25888023234387
GCF_040947605.1.fna,95.87424758216736
GCF_040947645.1.fna,95.87424758216736
GCF_022690275.1.fna,96.42715454982367
GCF_022690105.1.fna,97.4265762612237
GCF_031728335.1.fna,97.4259282612237
GCF_031728115.1.fna,95.02888023234387
GCF_031728745.1.fna,95.02773130246273
GCF_040947205.1.fna,96.14773130246273
GCF_047653525.1.fna,95.03002311519765
GCF_017315625.1.fna,96.32657626122369
GCF_031728735.1.fna,96.42888023234387
GCF_022690115.1.fna,95.87657626122369
